1668700955437989120,-0.01054,0.00537,-0.00015,0.68315,-0.72772,-0.03196,0.05198,-0.01162,0.02405,-0.00220,
1668700955537917184,-0.00691,0.00588,0.00024,0.68015,-0.73050,-0.03189,0.05250,0.01355,0.01699,0.00492,
1668700955637847040,-0.00748,0.00206,-0.00041,0.68157,-0.72928,-0.02820,0.05311,0.01473,0.01017,0.00217,
1668700955737762816,-0.00642,0.00451,-0.00148,0.67441,-0.73589,-0.02387,0.05538,0.02402,0.01757,-0.00612,
1668700955837676544,-0.00164,0.00392,-0.00294,0.67372,-0.73586,-0.02375,0.06357,-0.04700,-0.03217,0.01403,
1668700955937591296,-0.00249,-0.00211,-0.00094,0.68110,-0.72793,-0.04018,0.06787,-0.02117,0.00270,-0.01554,
1668700956037505024,-0.00400,0.00065,-0.00236,0.67027,-0.73746,-0.04028,0.07262,0.02225,0.01130,-0.00307,
1668700956137419776,-0.00304,0.00628,-0.00493,0.65993,-0.74587,-0.02915,0.08555,0.01551,0.04461,-0.01105,
1668700956237333248,-0.00405,0.01164,-0.00589,0.65793,-0.74918,-0.01465,0.07513,-0.07900,0.01064,0.00153,
1668700956736898304,-0.00781,0.00571,-0.00314,0.67112,-0.73816,-0.03047,0.06150,0.01307,-0.00438,0.00033,
1668700956770201344,-0.00897,0.00669,-0.00307,0.66976,-0.73940,-0.02945,0.06204,0.01409,0.00238,-0.00254,
1668700956803503872,-0.00984,0.00533,-0.00388,0.66982,-0.73941,-0.02833,0.06183,0.00790,-0.01143,0.00410,
1668700956836806656,-0.00899,0.00333,-0.00318,0.67036,-0.73896,-0.02988,0.06051,-0.01222,-0.02095,0.00934,
1668700956870108672,-0.00913,0.00210,-0.00267,0.67203,-0.73753,-0.03234,0.05817,-0.00663,-0.02454,0.01399,
1668700956903411712,-0.00903,0.00124,-0.00240,0.67359,-0.73615,-0.03314,0.05708,0.01225,-0.00866,0.00045,
1668700956936714752,-0.00855,0.00104,-0.00252,0.67269,-0.73694,-0.03241,0.05791,0.01781,0.01856,-0.01641,
1668700957036621312,-0.00828,0.00180,-0.00265,0.67010,-0.73923,-0.03071,0.05965,-0.03585,-0.03835,0.02397,
1668700957136528896,-0.01028,0.00080,-0.00140,0.67472,-0.73551,-0.03241,0.05228,0.00562,0.00183,-0.00011,
1668700957236435712,-0.00784,-0.00176,0.00089,0.67851,-0.73135,-0.02441,0.06447,0.04603,-0.03886,0.08051,
1668700957336343040,-0.00385,-0.00341,0.01132,0.68830,-0.72022,-0.00692,0.08644,0.04166,-0.01282,0.15128,
1668700957436249344,-0.00178,-0.00036,0.02998,0.69155,-0.71447,-0.00024,0.10628,0.02235,0.00822,0.21418,
1668700957536156160,0.00156,-0.00121,0.05317,0.70147,-0.70051,-0.00415,0.13115,0.01407,0.01966,0.21446,
1668700957636062976,-0.00270,0.00297,0.06787,0.71003,-0.68725,-0.02304,0.15167,-0.06309,0.03770,0.09512,
1668700957735969024,-0.01015,0.00502,0.07485,0.69399,-0.69519,-0.05514,0.17903,-0.06295,0.02616,0.04888,
1668700957835875840,-0.01868,0.00671,0.08045,0.67255,-0.70572,-0.09693,0.20061,-0.03227,0.00952,0.10753,
1668700957935781376,-0.02534,0.01027,0.08725,0.66734,-0.70316,-0.14109,0.20079,-0.01733,0.04325,0.10473,
1668700958035687680,-0.02737,0.01664,0.09595,0.66819,-0.69709,-0.17744,0.19002,0.02509,0.10205,0.10328,
1668700958135594240,-0.02321,0.02855,0.11035,0.66370,-0.69708,-0.19604,0.18752,0.11811,0.11967,0.23286,
1668700958235499264,-0.01017,0.04619,0.13912,0.66266,-0.70008,-0.20338,0.17147,0.17186,0.17527,0.38839,
1668700958335405056,0.01110,0.06491,0.18620,0.66954,-0.69929,-0.19704,0.15457,0.23748,0.15723,0.56147,
1668700958435309824,0.03974,0.07656,0.24813,0.67523,-0.70022,-0.18535,0.13929,0.25334,0.07355,0.67411,
1668700958535215360,0.07581,0.08080,0.31976,0.68254,-0.69889,-0.17338,0.12500,0.30632,0.01936,0.76322,
