1668700957436249344,-0.00081,-0.00249,0.03063,0.69189,-0.71426,-0.00036,0.10550,
1668700957536156160,-0.00026,0.00058,0.05257,0.70175,-0.70037,-0.00530,0.13040,
1668700957636062976,-0.00362,0.00218,0.06838,0.71031,-0.68710,-0.02396,0.15091,
1668700957735969024,-0.01145,0.00435,0.07441,0.69419,-0.69510,-0.05579,0.17837,
1668700957835875840,-0.02147,0.00729,0.07769,0.67286,-0.70559,-0.09788,0.19955,
1668700957935781376,-0.02802,0.01018,0.08597,0.66767,-0.70293,-0.14206,0.19981,
1668700958035687680,-0.02984,0.01713,0.09503,0.66864,-0.69663,-0.17855,0.18910,
1668700958135594240,-0.02430,0.03050,0.10940,0.66368,-0.69702,-0.19703,0.18675,
1668700958235499264,-0.00987,0.04755,0.13819,0.66197,-0.70057,-0.20488,0.17036,
1668700958335405056,0.01441,0.06464,0.18618,0.66866,-0.69992,-0.19805,0.15420,
1668700958435309824,0.04729,0.07632,0.24749,0.67299,-0.70207,-0.18654,0.13920,
1668700958535215360,0.08253,0.08377,0.31794,0.68030,-0.70085,-0.17383,0.12561,
1668700958635119872,0.12572,0.08129,0.39265,0.68390,-0.70276,-0.15757,0.11649,
1668700958735035392,0.17204,0.07139,0.46474,0.68378,-0.70755,-0.14175,0.10826,
1668700959134701824,0.30816,0.07206,0.63172,0.67062,-0.72410,-0.12670,0.09949,
1668700959334534656,0.35873,0.08932,0.63778,0.65821,-0.73279,-0.12182,0.12222,
1668700959534369280,0.38720,0.10971,0.62739,0.64302,-0.74134,-0.12809,0.14330,
1668700959734197760,0.40131,0.12142,0.61588,0.63012,-0.74800,-0.14003,0.15436,
1668700960033931520,0.41666,0.12878,0.61507,0.63890,-0.73638,-0.15181,0.16283,
1668700960133841664,0.42396,0.12695,0.62715,0.65325,-0.72269,-0.15382,0.16531,
1668700960233753088,0.43228,0.13623,0.63557,0.65506,-0.72660,-0.15139,0.14151,
1668700960433574400,0.43068,0.14443,0.64939,0.66744,-0.71028,-0.17352,0.14116,
